Year,Female_15_24,Female_25_54,Female_55_64,Female_65+,Male_15_24,Male_25_54,Male_55_64,Male_65+
2030,0.028139278953575906,0.20735981632970846,0.04196900706074886,0.006205720129344896,0.07105661691100175,0.5236199213201006,0.10597910706136938,0.015670532234150096
2031,0.028164427267060626,0.20754513556527937,0.0420065151201397,0.0062112662343274975,0.07103146859751704,0.5234346020845297,0.10594159900197857,0.015664986129167495
2032,0.028189575775247687,0.20773045623562206,0.04204402346992406,0.006216812382248946,0.07100632008932996,0.523249281414187,0.1059040906521942,0.015659439981246047
2033,0.028214724263952905,0.20791577676240194,0.04208153179065174,0.006222358525873949,0.07098117160062475,0.5230639608874073,0.10586658233146654,0.015653893837621044
2034,0.02823987275460746,0.20810109730354664,0.042119040114286806,0.006227904669928853,0.07095602310997019,0.5228786403462625,0.10582907400783145,0.01564834769356614
2035,0.02826502124506697,0.20828641784325405,0.042156548437630975,0.006233450813940741,0.07093087461951068,0.5226933198065551,0.1057915656844873,0.015642801549554254
2036,0.028290169735546,0.2084717383831052,0.042194056761004246,0.0062389969579569335,0.07090572612903165,0.5225079992667039,0.10575405736111401,0.01563725540553806
2037,0.028315318226023074,0.20865705892294206,0.04223156508437461,0.006244543101972695,0.07088057763855458,0.522322678726867,0.10571654903774365,0.0156317092615223
2038,0.028340466716500343,0.20884237946278034,0.04226907340774526,0.006250089245988499,0.0708554291480773,0.5221373581870288,0.105679040714373,0.015626163117506493
2039,0.02836561520697759,0.20902770000261844,0.04230658173111588,0.0062556353900043,0.07083028065760005,0.5219520376471906,0.10564153239100237,0.015620616973490693
2040,0.028390763697454847,0.20921302054245658,0.042344090054486506,0.0062611815340201,0.0708051321671228,0.5217667171073525,0.10560402406763174,0.01561507082947489
2041,0.028415912187932102,0.20939834108229474,0.04238159837785714,0.0062667276780359014,0.07077998367664556,0.5215813965675145,0.10556651574426114,0.015609524685459092
2042,0.02844106067840935,0.20958366162213282,0.042419106701227755,0.006272273822051702,0.0707548351861683,0.5213960760276762,0.1055290074208905,0.015603978541443292
2043,0.028466209168886602,0.20976898216197096,0.04245661502459838,0.0062778199660675025,0.07072968669569106,0.5212107554878381,0.10549149909751987,0.01559843239742749
2044,0.028491357659363854,0.20995430270180912,0.04249412334796901,0.006283366110083303,0.0707045382052138,0.521025434948,0.10545399077414924,0.015592886253411688
2045,0.028516506149841105,0.21013962324164723,0.04253163167133963,0.0062889122540991035,0.07067938971473654,0.5208401144081618,0.10541648245077864,0.015587340109395888
2046,0.028541654640318357,0.21032494378148534,0.04256913999471026,0.006294458398114904,0.0706542412242593,0.5206547938683237,0.105378974127408,0.015581793965380087
2047,0.028566803130795605,0.21051026432132341,0.04260664831808088,0.006300004542130705,0.07062909273378204,0.5204694733284856,0.10534146580403737,0.015576247821364285
2048,0.02859195162127286,0.21069558486116158,0.04264415664145151,0.006305550686146505,0.0706039442433048,0.5202841527886475,0.10530395748066676,0.015570701677348487
2049,0.028617100111750112,0.2108809054009997,0.04268166496482212,0.006311096830162305,0.07057879575282754,0.5200988322488094,0.10526644915729612,0.015565155533332684
2050,0.028642248602227364,0.21106622594083785,0.042719173288192754,0.006316642974178106,0.07055364726235029,0.5199135117089713,0.10522894083392549,0.015559609389316886
