Quarter,male_share_mean,male_share_p05,male_share_p95,female_share_mean,female_share_p05,female_share_p95
2015Q3,0.74914100922994,0.74914100922994,0.74914100922994,0.25085899077006,0.25085899077006,0.25085899077006
2015Q4,0.7585745804639968,0.7585745804639968,0.7585745804639968,0.24142541953600316,0.24142541953600316,0.24142541953600316
2016Q1,0.7563352826510722,0.7563352826510722,0.7563352826510722,0.2436647173489278,0.2436647173489278,0.2436647173489278
2016Q2,0.7593642838301239,0.7593642838301239,0.7593642838301239,0.2406357161698761,0.2406357161698761,0.2406357161698761
2016Q3,0.7484646283570693,0.7484646283570693,0.7484646283570693,0.2515353716429307,0.2515353716429307,0.2515353716429307
2016Q4,0.7474394627959031,0.7474394627959031,0.7474394627959031,0.2525605372040969,0.2525605372040969,0.2525605372040969
2017Q1,0.7516031165965662,0.7516031165965662,0.7516031165965662,0.2483968834034338,0.2483968834034338,0.2483968834034338
2017Q2,0.7528109204690024,0.7528109204690024,0.7528109204690024,0.24718907953099756,0.24718907953099756,0.24718907953099756
2017Q3,0.7401114584749218,0.7401114584749218,0.7401114584749218,0.25988854152507823,0.25988854152507823,0.25988854152507823
2017Q4,0.7511210762331839,0.7511210762331839,0.7511210762331839,0.24887892376681608,0.24887892376681608,0.24887892376681608
2018Q1,0.7518938744729715,0.7518938744729715,0.7518938744729715,0.2481061255270285,0.2481061255270285,0.2481061255270285
2018Q2,0.7444436727323239,0.7444436727323239,0.7444436727323239,0.2555563272676761,0.2555563272676761,0.2555563272676761
2018Q3,0.7513383855941042,0.7513383855941042,0.7513383855941042,0.24866161440589585,0.24866161440589585,0.24866161440589585
2018Q4,0.7534732995483849,0.7534732995483849,0.7534732995483849,0.24652670045161507,0.24652670045161507,0.24652670045161507
2019Q1,0.7452443118239462,0.7452443118239462,0.7452443118239462,0.25475568817605376,0.25475568817605376,0.25475568817605376
2019Q2,0.7361420588941071,0.7361420588941071,0.7361420588941071,0.2638579411058929,0.2638579411058929,0.2638579411058929
2019Q3,0.7386568613847648,0.7386568613847648,0.7386568613847648,0.26134313861523517,0.26134313861523517,0.26134313861523517
2019Q4,0.7469650330301248,0.7469650330301248,0.7469650330301248,0.25303496696987515,0.25303496696987515,0.25303496696987515
2020Q1,0.7488890385133316,0.7488890385133316,0.7488890385133316,0.25111096148666845,0.25111096148666845,0.25111096148666845
2020Q2,0.738311620995888,0.738311620995888,0.738311620995888,0.261688379004112,0.261688379004112,0.261688379004112
2020Q3,0.7410498175643944,0.7410498175643944,0.7410498175643944,0.25895018243560564,0.25895018243560564,0.25895018243560564
2020Q4,0.72984610776201,0.72984610776201,0.72984610776201,0.27015389223799,0.27015389223799,0.27015389223799
2021Q1,0.7208956846262546,0.7208956846262546,0.7208956846262546,0.27910431537374536,0.27910431537374536,0.27910431537374536
2021Q2,0.7295616914462252,0.7295616914462252,0.7295616914462252,0.2704383085537748,0.2704383085537748,0.2704383085537748
2021Q3,0.7328212022277704,0.7328212022277704,0.7328212022277704,0.26717879777222964,0.26717879777222964,0.26717879777222964
2021Q4,0.7361609231249027,0.7361609231249027,0.7361609231249027,0.26383907687509733,0.26383907687509733,0.26383907687509733
2022Q1,0.726780129463961,0.726780129463961,0.726780129463961,0.273219870536039,0.273219870536039,0.273219870536039
2022Q2,0.7260512746023676,0.7260512746023676,0.7260512746023676,0.2739487253976324,0.2739487253976324,0.2739487253976324
2022Q3,0.7287830489405588,0.7287830489405588,0.7287830489405588,0.2712169510594412,0.2712169510594412,0.2712169510594412
2022Q4,0.7375229667404102,0.7375229667404102,0.7375229667404102,0.2624770332595898,0.2624770332595898,0.2624770332595898
2023Q1,0.7253515802207773,0.7253515802207773,0.7253515802207773,0.2746484197792227,0.2746484197792227,0.2746484197792227
2023Q2,0.7425030782062995,0.7425030782062995,0.7425030782062995,0.25749692179370054,0.25749692179370054,0.25749692179370054
2023Q3,0.7332692923471021,0.7332692923471021,0.7332692923471021,0.26673070765289786,0.26673070765289786,0.26673070765289786
2023Q4,0.7361710037174721,0.7361710037174721,0.7361710037174721,0.2638289962825279,0.2638289962825279,0.2638289962825279
2024Q1,0.7286142238988129,0.7286142238988129,0.7286142238988129,0.2713857761011871,0.2713857761011871,0.2713857761011871
2024Q2,0.7215461438875532,0.7215461438875532,0.7215461438875532,0.2784538561124468,0.2784538561124468,0.2784538561124468
2024Q3,0.7061945615820852,0.7061945615820852,0.7061945615820852,0.29380543841791484,0.29380543841791484,0.29380543841791484
2024Q4,0.7087192354525663,0.7087192354525663,0.7087192354525663,0.2912807645474337,0.2912807645474337,0.2912807645474337
2025Q1,0.7109276408212704,0.7013056155484654,0.7202942703516195,0.28907235917872964,0.2797057296483805,0.2986943844515346
2025Q2,0.7118786032971871,0.7002073433874721,0.7231106395780831,0.2881213967028129,0.2768893604219169,0.29979265661252785
2025Q3,0.7122888471362894,0.6986644588755486,0.7252187317441202,0.28771115286371063,0.2747812682558798,0.3013355411244514
2025Q4,0.7124659667020696,0.6980901212018439,0.7266481423469572,0.28753403329793037,0.2733518576530428,0.3019098787981561
2026Q1,0.7125424630845868,0.6969942501250952,0.7273940355126348,0.2874575369154132,0.2726059644873652,0.3030057498749048
2026Q2,0.7125755061328127,0.695190273004813,0.72561730775277,0.28742449386718727,0.27438269224723,0.30480972699518705
2026Q3,0.7125897801870393,0.6938384991438986,0.7298108053247041,0.28741021981296067,0.2701891946752959,0.3061615008561014
2026Q4,0.7125959465160546,0.6918778557043465,0.7315915800629316,0.2874040534839454,0.26840841993706843,0.30812214429565354
2027Q1,0.7125986103753296,0.6914885984148853,0.7324471433013818,0.28740138962467043,0.26755285669861817,0.3085114015851147
2027Q2,0.7125997611707482,0.6889759755891388,0.732634357795859,0.2874002388292518,0.26736564220414105,0.3110240244108612
2027Q3,0.7126002583190347,0.6880981719310518,0.733448480786964,0.28739974168096527,0.266551519213036,0.3119018280689482
2027Q4,0.7126004730893188,0.6870878865795387,0.7363466532893513,0.28739952691068116,0.26365334671064866,0.3129121134204613
2028Q1,0.7126005658710814,0.6867375389763944,0.7364153667964982,0.28739943412891855,0.2635846332035018,0.31326246102360555
2028Q2,0.712600605953242,0.6855756322519063,0.7385948593507617,0.28739939404675796,0.26140514064923825,0.3144243677480937
2028Q3,0.7126006232689266,0.6851287372699518,0.7397872151161322,0.2873993767310734,0.2602127848838678,0.3148712627300482
2028Q4,0.7126006307493851,0.6845691482941698,0.7391495416826495,0.28739936925061493,0.26085045831735054,0.3154308517058302
2029Q1,0.7126006339809791,0.6864137097513522,0.7391057361424492,0.28739936601902094,0.26089426385755077,0.3135862902486478
2029Q2,0.712600635377043,0.6832485331390385,0.7404618350647827,0.287399364622957,0.2595381649352173,0.31675146686096145
2029Q3,0.7126006359801493,0.6816295892780488,0.7420410929595537,0.28739936401985067,0.25795890704044633,0.31837041072195116
2029Q4,0.7126006362406943,0.6826083601250431,0.7406082334892666,0.28739936375930575,0.25939176651073337,0.3173916398749569
2030Q1,0.7126006363532509,0.6823300075130374,0.7399131859740362,0.2873993636467491,0.2600868140259638,0.3176699924869626
2030Q2,0.7126006364018759,0.6832329295815571,0.7407172687895762,0.2873993635981241,0.2592827312104238,0.3167670704184429
2030Q3,0.7126006364228821,0.6802180311248047,0.7426137553753016,0.28739936357711793,0.2573862446246984,0.3197819688751953
2030Q4,0.7126006364319569,0.6805953285850028,0.7420178192684017,0.2873993635680431,0.2579821807315983,0.3194046714149972
2031Q1,0.7126006364358772,0.6805269324061866,0.7414373135382492,0.28739936356412277,0.25856268646175085,0.31947306759381344
2031Q2,0.7126006364375708,0.6765498521208894,0.7417576387178738,0.28739936356242923,0.2582423612821262,0.32345014787911064
2031Q3,0.7126006364383025,0.6782783365571401,0.745942077366798,0.2873993635616975,0.25405792263320204,0.3217216634428599
2031Q4,0.7126006364386185,0.676947725347919,0.7445164700078301,0.2873993635613815,0.25548352999216994,0.323052274652081
2032Q1,0.712600636438755,0.6772037009586812,0.747112712882292,0.28739936356124496,0.252887287117708,0.3227962990413188
2032Q2,0.712600636438814,0.6744999440225354,0.7474619181881603,0.287399363561186,0.2525380818118397,0.32550005597746456
2032Q3,0.7126006364388395,0.6741139171642685,0.7490869608389966,0.28739936356116047,0.2509130391610034,0.3258860828357315
2032Q4,0.7126006364388505,0.6744263224595014,0.7495269426089489,0.2873993635611495,0.2504730573910511,0.3255736775404986
2033Q1,0.7126006364388553,0.6707085433544314,0.7499532544270346,0.2873993635611447,0.25004674557296536,0.3292914566455686
2033Q2,0.7126006364388573,0.6752927232528367,0.7501290642220557,0.2873993635611427,0.24987093577794428,0.32470727674716326
2033Q3,0.7126006364388583,0.672423873434128,0.7499388571990369,0.2873993635611417,0.25006114280096314,0.327576126565872
