,Workforce jobs by industry  (thousand),low level aggregate,growth q on q,"Output per job: Manufacturing C SIC07, 2023=100, SA, UK","Output per hour: Manufacturing C SIC07, 2023=100, SA, UK","Productivity jobs: Manufacturing C SIC07, 2023=100, SA, UK",UKManufTO: 10-33 - UK Manufacturing TOTAL (£m),,,,Date,"Spot exchange rate, US $ into Sterling              [a] [a] [a]             XUDLUSS",Date,"Spot exchange rate, Euro into Sterling              [a] [a] [a]             XUDLERS",,year,month,UK_EPolicyUncertianty_Index
,,,,,,,,,,,28 Sep 20,1.2842,28 Sep 20,1.1029,,,,
,,,,,,,,,,,25 Sep 20,1.2705,25 Sep 20,1.0935,,,,
,,,,,,,,,,,24 Sep 20,1.2714,24 Sep 20,1.0923,,,,
,,,,,,,,,,,23 Sep 20,1.2765,23 Sep 20,1.0938,,,,
,,,,,,,,,,,22 Sep 20,1.2721,22 Sep 20,1.0868,,,,
,,,,,,,,,,,21 Sep 20,1.2795,21 Sep 20,1.0896,,,,
,,,,,,,,,,,18 Sep 20,1.2962,18 Sep 20,1.0928,,,,
,,,,,,,,,,,17 Sep 20,1.2952,17 Sep 20,1.0954,,,,
,,,,,,,,,,,16 Sep 20,1.3006,16 Sep 20,1.098,,,,
,,,,,,,,,,,15 Sep 20,1.2854,15 Sep 20,1.0846,,,,
,,,,,,,,,,,14 Sep 20,1.2883,14 Sep 20,1.0852,,,,
,,,,,,,,,,,11 Sep 20,1.2782,11 Sep 20,1.0805,,,,
,,,,,,,,,,,10 Sep 20,1.2867,10 Sep 20,1.0837,,,,
,,,,,,,,,,,09 Sep 20,1.2996,09 Sep 20,1.1006,,,,
,,,,,,,,,,,08 Sep 20,1.3023,08 Sep 20,1.1044,,,,
,,,,,,,,,,,07 Sep 20,1.3177,07 Sep 20,1.1142,,,,
,,,,,,,,,,,04 Sep 20,1.3199,04 Sep 20,1.1197,,,,
,,,,,,,,,,,03 Sep 20,1.3271,03 Sep 20,1.1215,,,,
,,,,,,,,,,,02 Sep 20,1.3303,02 Sep 20,1.1236,,,,
,,,,,,,,,,,01 Sep 20,1.345,01 Sep 20,1.1248,,,,
,,,,,,,,,,,28 Aug 20,1.333,28 Aug 20,1.1205,,,,
,,,,,,,,,,,27 Aug 20,1.3189,27 Aug 20,1.1188,,,,
,,,,,,,,,,,26 Aug 20,1.3193,26 Aug 20,1.1163,,,,
,,,,,,,,,,,25 Aug 20,1.3118,25 Aug 20,1.1095,,,,
,,,,,,,,,,,24 Aug 20,1.3071,24 Aug 20,1.1064,,,,
,,,,,,,,,,,21 Aug 20,1.3073,21 Aug 20,1.1098,,,,
,,,,,,,,,,,20 Aug 20,1.3144,20 Aug 20,1.1099,,,,
,,,,,,,,,,,19 Aug 20,1.3182,19 Aug 20,1.1081,,,,
,,,,,,,,,,,18 Aug 20,1.3223,18 Aug 20,1.1093,,,,
,,,,,,,,,,,17 Aug 20,1.3099,17 Aug 20,1.1038,,,,
,,,,,,,,,,,14 Aug 20,1.311,14 Aug 20,1.1083,,,,
,,,,,,,,,,,13 Aug 20,1.3096,13 Aug 20,1.1061,,,,
,,,,,,,,,,,12 Aug 20,1.3058,12 Aug 20,1.1061,,,,
,,,,,,,,,,,11 Aug 20,1.3087,11 Aug 20,1.1124,,,,
,,,,,,,,,,,10 Aug 20,1.3089,10 Aug 20,1.1124,,,,
,,,,,,,,,,,07 Aug 20,1.3051,07 Aug 20,1.1071,,,,
,,,,,,,,,,,06 Aug 20,1.3143,06 Aug 20,1.1091,,,,
,,,,,,,,,,,05 Aug 20,1.3143,05 Aug 20,1.1059,,,,
,,,,,,,,,,,04 Aug 20,1.3079,04 Aug 20,1.1106,,,,
,,,,,,,,,,,03 Aug 20,1.3032,03 Aug 20,1.1104,,,,
,,,,,,,,,,,31 Jul 20,1.3126,31 Jul 20,1.1096,,,,
,,,,,,,,,,,30 Jul 20,1.3046,30 Jul 20,1.1063,,,,
,,,,,,,,,,,29 Jul 20,1.2966,29 Jul 20,1.1011,,,,
,,,,,,,,,,,28 Jul 20,1.2947,28 Jul 20,1.1038,,,,
,,,,,,,,,,,27 Jul 20,1.2895,27 Jul 20,1.0951,,,,
,,,,,,,,,,,24 Jul 20,1.2789,24 Jul 20,1.1,,,,
,,,,,,,,,,,23 Jul 20,1.2746,23 Jul 20,1.0992,,,,
,,,,,,,,,,,22 Jul 20,1.2732,22 Jul 20,1.0982,,,,
,,,,,,,,,,,21 Jul 20,1.2749,21 Jul 20,1.1097,,,,
,,,,,,,,,,,20 Jul 20,1.2647,20 Jul 20,1.1055,,,,
,,,,,,,,,,,17 Jul 20,1.2536,17 Jul 20,1.0974,,,,
,,,,,,,,,,,16 Jul 20,1.2597,16 Jul 20,1.102,,,,
,,,,,,,,,,,15 Jul 20,1.2623,15 Jul 20,1.1055,,,,
,,,,,,,,,,,14 Jul 20,1.253,14 Jul 20,1.0993,,,,
,,,,,,,,,,,13 Jul 20,1.2619,13 Jul 20,1.1101,,,,
,,,,,,,,,,,10 Jul 20,1.2662,10 Jul 20,1.1187,,,,
,,,,,,,,,,,09 Jul 20,1.2615,09 Jul 20,1.117,,,,
,,,,,,,,,,,08 Jul 20,1.2596,08 Jul 20,1.1118,,,,
,,,,,,,,,,,07 Jul 20,1.2575,07 Jul 20,1.1143,,,,
,,,,,,,,,,,06 Jul 20,1.2509,06 Jul 20,1.1052,,,,
,,,,,,,,,,,03 Jul 20,1.2468,03 Jul 20,1.1092,,,,
,,,,,,,,,,,02 Jul 20,1.2466,02 Jul 20,1.1102,,,,
,,,,,,,,,,,01 Jul 20,1.2458,01 Jul 20,1.1063,,,,
,,,,,,,,,,,30 Jun 20,1.2359,30 Jun 20,1.1002,,,,
,,,,,,,,,,,29 Jun 20,1.2268,29 Jun 20,1.0908,,,,
,,,,,,,,,,,26 Jun 20,1.232,26 Jun 20,1.0997,,,,
,,,,,,,,,,,25 Jun 20,1.2406,25 Jun 20,1.1063,,,,
,,,,,,,,,,,24 Jun 20,1.245,24 Jun 20,1.1042,,,,
,,,,,,,,,,,23 Jun 20,1.252,23 Jun 20,1.105,,,,
,,,,,,,,,,,22 Jun 20,1.2448,22 Jun 20,1.1063,,,,
,,,,,,,,,,,19 Jun 20,1.2361,19 Jun 20,1.1056,,,,
,,,,,,,,,,,18 Jun 20,1.242,18 Jun 20,1.1069,,,,
,,,,,,,,,,,17 Jun 20,1.2545,17 Jun 20,1.1178,,,,
,,,,,,,,,,,16 Jun 20,1.2583,16 Jun 20,1.1177,,,,
,,,,,,,,,,,15 Jun 20,1.2559,15 Jun 20,1.1145,,,,
,,,,,,,,,,,12 Jun 20,1.2539,12 Jun 20,1.115,,,,
,,,,,,,,,,,11 Jun 20,1.2645,11 Jun 20,1.111,,,,
,,,,,,,,,,,10 Jun 20,1.2755,10 Jun 20,1.1237,,,,
,,,,,,,,,,,09 Jun 20,1.2722,09 Jun 20,1.1205,,,,
,,,,,,,,,,,08 Jun 20,1.2698,08 Jun 20,1.1237,,,,
,,,,,,,,,,,05 Jun 20,1.2725,05 Jun 20,1.1248,,,,
,,,,,,,,,,,04 Jun 20,1.2607,04 Jun 20,1.1112,,,,
,,,,,,,,,,,03 Jun 20,1.2597,03 Jun 20,1.1229,,,,
,,,,,,,,,,,02 Jun 20,1.2557,02 Jun 20,1.1229,,,,
,,,,,,,,,,,01 Jun 20,1.2481,01 Jun 20,1.1207,,,,
,,,,,,,,,,,29 May 20,1.2368,29 May 20,1.1118,,,,
,,,,,,,,,,,28 May 20,1.2323,28 May 20,1.1146,,,,
,,,,,,,,,,,27 May 20,1.2217,27 May 20,1.1131,,,,
,,,,,,,,,,,26 May 20,1.2363,26 May 20,1.1252,,,,
,,,,,,,,,,,22 May 20,1.219,22 May 20,1.1194,,,,
,,,,,,,,,,,21 May 20,1.2212,21 May 20,1.1164,,,,
,,,,,,,,,,,20 May 20,1.227,20 May 20,1.1162,,,,
,,,,,,,,,,,19 May 20,1.2251,19 May 20,1.119,,,,
,,,,,,,,,,,18 May 20,1.2192,18 May 20,1.123,,,,
,,,,,,,,,,,15 May 20,1.2126,15 May 20,1.1208,,,,
,,,,,,,,,,,14 May 20,1.2199,14 May 20,1.1283,,,,
,,,,,,,,,,,13 May 20,1.2226,13 May 20,1.128,,,,
,,,,,,,,,,,12 May 20,1.233,12 May 20,1.1338,,,,
,,,,,,,,,,,11 May 20,1.2358,11 May 20,1.1416,,,,
,,,,,,,,,,,07 May 20,1.2287,07 May 20,1.14,,,,
,,,,,,,,,,,06 May 20,1.2362,06 May 20,1.1449,,,,
,,,,,,,,,,,05 May 20,1.2454,05 May 20,1.1488,,,,
,,,,,,,,,,,04 May 20,1.2421,04 May 20,1.1378,,,,
,,,,,,,,,,,01 May 20,1.2547,01 May 20,1.1399,,,,
,,,,,,,,,,,30 Apr 20,1.2613,30 Apr 20,1.1515,,,,
,,,,,,,,,,,29 Apr 20,1.2436,29 Apr 20,1.1459,,,,
,,,,,,,,,,,28 Apr 20,1.2436,28 Apr 20,1.1476,,,,
,,,,,,,,,,,27 Apr 20,1.2409,27 Apr 20,1.1447,,,,
,,,,,,,,,,,24 Apr 20,1.2338,24 Apr 20,1.1409,,,,
,,,,,,,,,,,23 Apr 20,1.2386,23 Apr 20,1.1438,,,,
,,,,,,,,,,,22 Apr 20,1.2329,22 Apr 20,1.1385,,,,
,,,,,,,,,,,21 Apr 20,1.2273,21 Apr 20,1.1302,,,,
,,,,,,,,,,,20 Apr 20,1.2473,20 Apr 20,1.1463,,,,
,,,,,,,,,,,17 Apr 20,1.2504,17 Apr 20,1.1483,,,,
,,,,,,,,,,,16 Apr 20,1.2451,16 Apr 20,1.1473,,,,
,,,,,,,,,,,15 Apr 20,1.2498,15 Apr 20,1.1463,,,,
,,,,,,,,,,,14 Apr 20,1.2594,14 Apr 20,1.148,,,,
,,,,,,,,,,,09 Apr 20,1.247,09 Apr 20,1.1401,,,,
,,,,,,,,,,,08 Apr 20,1.2379,08 Apr 20,1.1396,,,,
,,,,,,,,,,,07 Apr 20,1.2304,07 Apr 20,1.1306,,,,
,,,,,,,,,,,06 Apr 20,1.2255,06 Apr 20,1.1364,,,,
,,,,,,,,,,,03 Apr 20,1.2258,03 Apr 20,1.1352,,,,
,,,,,,,,,,,02 Apr 20,1.2377,02 Apr 20,1.1392,,,,
,,,,,,,,,,,01 Apr 20,1.2424,01 Apr 20,1.1374,,,,
,,,,,,,,,,,31 Mar 20,1.2403,31 Mar 20,1.1306,,,,
,,,,,,,,,,,30 Mar 20,1.2416,30 Mar 20,1.1258,,,,
,,,,,,,,,,,27 Mar 20,1.2359,27 Mar 20,1.1176,,,,
,,,,,,,,,,,26 Mar 20,1.2135,26 Mar 20,1.1009,,,,
,,,,,,,,,,,25 Mar 20,1.1761,25 Mar 20,1.0859,,,,
,,,,,,,,,,,24 Mar 20,1.1772,24 Mar 20,1.0915,,,,
,,,,,,,,,,,23 Mar 20,1.1492,23 Mar 20,1.0681,,,,
,,,,,,,,,,,20 Mar 20,1.1741,20 Mar 20,1.0991,,,,
,,,,,,,,,,,19 Mar 20,1.1658,19 Mar 20,1.0896,,,,
,,,,,,,,,,,18 Mar 20,1.1763,18 Mar 20,1.0858,,,,
,,,,,,,,,,,17 Mar 20,1.2016,17 Mar 20,1.0953,,,,
,,,,,,,,,,,16 Mar 20,1.2277,16 Mar 20,1.1024,,,,
,,,,,,,,,,,13 Mar 20,1.2406,13 Mar 20,1.1207,,,,
,,,,,,,,,,,12 Mar 20,1.254,12 Mar 20,1.1317,,,,
,,,,,,,,,,,11 Mar 20,1.2887,11 Mar 20,1.1424,,,,
,,,,,,,,,,,10 Mar 20,1.2932,10 Mar 20,1.1402,,,,
,,,,,,,,,,,09 Mar 20,1.311,09 Mar 20,1.1479,,,,
,,,,,,,,,,,06 Mar 20,1.3029,06 Mar 20,1.152,,,,
,,,,,,,,,,,05 Mar 20,1.2922,05 Mar 20,1.155,,,,
,,,,,,,,,,,04 Mar 20,1.2821,04 Mar 20,1.1511,,,,
,,,,,,,,,,,03 Mar 20,1.2819,03 Mar 20,1.1465,,,,
,,,,,,,,,,,02 Mar 20,1.2748,02 Mar 20,1.1454,,,,
,,,,,,,,,,,28 Feb 20,1.2776,28 Feb 20,1.163,,,,
,,,,,,,,,,,27 Feb 20,1.2873,27 Feb 20,1.172,,,,
,,,,,,,,,,,26 Feb 20,1.2917,26 Feb 20,1.1888,,,,
,,,,,,,,,,,25 Feb 20,1.3016,25 Feb 20,1.1979,,,,
,,,,,,,,,,,24 Feb 20,1.2924,24 Feb 20,1.1905,,,,
,,,,,,,,,,,21 Feb 20,1.2962,21 Feb 20,1.1942,,,,
,,,,,,,,,,,20 Feb 20,1.2881,20 Feb 20,1.1924,,,,
,,,,,,,,,,,19 Feb 20,1.2951,19 Feb 20,1.2001,,,,
,,,,,,,,,,,18 Feb 20,1.3037,18 Feb 20,1.2046,,,,
,,,,,,,,,,,17 Feb 20,1.3006,17 Feb 20,1.2009,,,,
,,,,,,,,,,,14 Feb 20,1.3016,14 Feb 20,1.2001,,,,
,,,,,,,,,,,13 Feb 20,1.3055,13 Feb 20,1.2036,,,,
,,,,,,,,,,,12 Feb 20,1.2975,12 Feb 20,1.1909,,,,
,,,,,,,,,,,11 Feb 20,1.2945,11 Feb 20,1.186,,,,
,,,,,,,,,,,10 Feb 20,1.2923,10 Feb 20,1.183,,,,
,,,,,,,,,,,07 Feb 20,1.2939,07 Feb 20,1.1804,,,,
,,,,,,,,,,,06 Feb 20,1.2929,06 Feb 20,1.1779,,,,
,,,,,,,,,,,05 Feb 20,1.2984,05 Feb 20,1.1801,,,,
,,,,,,,,,,,04 Feb 20,1.3025,04 Feb 20,1.18,,,,
,,,,,,,,,,,03 Feb 20,1.3013,03 Feb 20,1.177,,,,
,,,,,,,,,,,31 Jan 20,1.3179,31 Jan 20,1.1897,,,,
,,,,,,,,,,,30 Jan 20,1.31,30 Jan 20,1.187,,,,
,,,,,,,,,,,29 Jan 20,1.3,29 Jan 20,1.182,,,,
,,,,,,,,,,,28 Jan 20,1.2983,28 Jan 20,1.1803,,,,
,,,,,,,,,,,27 Jan 20,1.3056,27 Jan 20,1.1855,,,,
,,,,,,,,,,,24 Jan 20,1.3067,24 Jan 20,1.1852,,,,
,,,,,,,,,,,23 Jan 20,1.3118,23 Jan 20,1.1876,,,,
,,,,,,,,,,,22 Jan 20,1.3141,22 Jan 20,1.1864,,,,
,,,,,,,,,,,21 Jan 20,1.3058,21 Jan 20,1.1766,,,,
,,,,,,,,,,,20 Jan 20,1.2998,20 Jan 20,1.1726,,,,
,,,,,,,,,,,17 Jan 20,1.3029,17 Jan 20,1.1743,,,,
,,,,,,,,,,,16 Jan 20,1.3067,16 Jan 20,1.1729,,,,
,,,,,,,,,,,15 Jan 20,1.3023,15 Jan 20,1.1677,,,,
,,,,,,,,,,,14 Jan 20,1.301,14 Jan 20,1.1698,,,,
,,,,,,,,,,,13 Jan 20,1.2979,13 Jan 20,1.1658,,,,
,,,,,,,,,,,10 Jan 20,1.3062,10 Jan 20,1.1754,,,,
,,,,,,,,,,,09 Jan 20,1.3049,09 Jan 20,1.1754,,,,
,,,,,,,,,,,08 Jan 20,1.3099,08 Jan 20,1.1781,,,,
,,,,,,,,,,,07 Jan 20,1.3122,07 Jan 20,1.1778,,,,
,,,,,,,,,,,06 Jan 20,1.3159,06 Jan 20,1.1761,,,,
,,,,,,,,,,,03 Jan 20,1.3072,03 Jan 20,1.171,,,,
,,,,,,,,,,,02 Jan 20,1.3189,02 Jan 20,1.1775,,,,
,,,,,,,,,,,31 Dec 19,1.321,31 Dec 19,1.1765,,,,
,,,,,,,,,,,30 Dec 19,1.3115,30 Dec 19,1.1709,,,,
,,,,,,,,,,,27 Dec 19,1.3094,27 Dec 19,1.1729,,,,
,,,,,,,,,,,24 Dec 19,1.2948,24 Dec 19,1.1692,,,,
,,,,,,,,,,,23 Dec 19,1.2926,23 Dec 19,1.1659,,,,
,,,,,,,,,,,20 Dec 19,1.3049,20 Dec 19,1.1771,,,,
,,,,,,,,,,,19 Dec 19,1.3029,19 Dec 19,1.1722,,,,
,,,,,,,,,,,18 Dec 19,1.3073,18 Dec 19,1.175,,,,
,,,,,,,,,,,17 Dec 19,1.3139,17 Dec 19,1.1781,,,,
,,,,,,,,,,,16 Dec 19,1.3334,16 Dec 19,1.1973,,,,
,,,,,,,,,,,13 Dec 19,1.3343,13 Dec 19,1.1981,,,,
,,,,,,,,,,,12 Dec 19,1.3119,12 Dec 19,1.1801,,,,
,,,,,,,,,,,11 Dec 19,1.3177,11 Dec 19,1.1887,,,,
,,,,,,,,,,,10 Dec 19,1.3171,10 Dec 19,1.1878,,,,
,,,,,,,,,,,09 Dec 19,1.3155,09 Dec 19,1.1885,,,,
,,,,,,,,,,,06 Dec 19,1.3105,06 Dec 19,1.1861,,,,
,,,,,,,,,,,05 Dec 19,1.3155,05 Dec 19,1.1859,,,,
,,,,,,,,,,,04 Dec 19,1.3107,04 Dec 19,1.1822,,,,
,,,,,,,,,,,03 Dec 19,1.2993,03 Dec 19,1.1724,,,,
,,,,,,,,,,,02 Dec 19,1.2922,02 Dec 19,1.1672,,,,
,,,,,,,,,,,29 Nov 19,1.2936,29 Nov 19,1.173,,,,
,,,,,,,,,,,28 Nov 19,1.2903,28 Nov 19,1.1724,,,,
,,,,,,,,,,,27 Nov 19,1.2875,27 Nov 19,1.1706,,,,
,,,,,,,,,,,26 Nov 19,1.2838,26 Nov 19,1.1658,,,,
,,,,,,,,,,,25 Nov 19,1.2907,25 Nov 19,1.1721,,,,
,,,,,,,,,,,22 Nov 19,1.2834,22 Nov 19,1.1632,,,,
,,,,,,,,,,,21 Nov 19,1.2925,21 Nov 19,1.1669,,,,
,,,,,,,,,,,20 Nov 19,1.2911,20 Nov 19,1.1667,,,,
,,,,,,,,,,,19 Nov 19,1.2932,19 Nov 19,1.1671,,,,
,,,,,,,,,,,18 Nov 19,1.2966,18 Nov 19,1.1701,,,,
,,,,,,,,,,,15 Nov 19,1.2896,15 Nov 19,1.1673,,,,
,,,,,,,,,,,14 Nov 19,1.2857,14 Nov 19,1.1686,,,,
,,,,,,,,,,,13 Nov 19,1.2839,13 Nov 19,1.166,,,,
,,,,,,,,,,,12 Nov 19,1.2839,12 Nov 19,1.1659,,,,
,,,,,,,,,,,11 Nov 19,1.2872,11 Nov 19,1.1666,,,,
,,,,,,,,,,,08 Nov 19,1.2792,08 Nov 19,1.1609,,,,
,,,,,,,,,,,07 Nov 19,1.2822,07 Nov 19,1.1608,,,,
,,,,,,,,,,,06 Nov 19,1.2874,06 Nov 19,1.1625,,,,
,,,,,,,,,,,05 Nov 19,1.2866,05 Nov 19,1.1619,,,,
,,,,,,,,,,,04 Nov 19,1.2906,04 Nov 19,1.158,,,,
,,,,,,,,,,,01 Nov 19,1.2947,01 Nov 19,1.1592,,,,
,,,,,,,,,,,31 Oct 19,1.2939,31 Oct 19,1.1598,,,,
,,,,,,,,,,,30 Oct 19,1.2871,30 Oct 19,1.1572,,,,
,,,,,,,,,,,29 Oct 19,1.2904,29 Oct 19,1.1607,,,,
,,,,,,,,,,,28 Oct 19,1.2858,28 Oct 19,1.1591,,,,
,,,,,,,,,,,25 Oct 19,1.2832,25 Oct 19,1.1571,,,,
,,,,,,,,,,,24 Oct 19,1.2848,24 Oct 19,1.1571,,,,
,,,,,,,,,,,23 Oct 19,1.2882,23 Oct 19,1.159,,,,
,,,,,,,,,,,22 Oct 19,1.2908,22 Oct 19,1.1596,,,,
,,,,,,,,,,,21 Oct 19,1.2983,21 Oct 19,1.1648,,,,
,,,,,,,,,,,18 Oct 19,1.2899,18 Oct 19,1.158,,,,
,,,,,,,,,,,17 Oct 19,1.2842,17 Oct 19,1.1552,,,,
,,,,,,,,,,,16 Oct 19,1.2804,16 Oct 19,1.1585,,,,
,,,,,,,,,,,15 Oct 19,1.2777,15 Oct 19,1.1579,,,,
,,,,,,,,,,,14 Oct 19,1.2586,14 Oct 19,1.1416,,,,
,,,,,,,,,,,11 Oct 19,1.2683,11 Oct 19,1.1491,,,,
,,,,,,,,,,,10 Oct 19,1.2282,10 Oct 19,1.1159,,,,
,,,,,,,,,,,09 Oct 19,1.2218,09 Oct 19,1.1126,,,,
,,,,,,,,,,,08 Oct 19,1.2214,08 Oct 19,1.1148,,,,
,,,,,,,,,,,07 Oct 19,1.2321,07 Oct 19,1.1206,,,,
,,,,,,,,,,,04 Oct 19,1.2294,04 Oct 19,1.1198,,,,
,,,,,,,,,,,03 Oct 19,1.2407,03 Oct 19,1.1292,,,,
,,,,,,,,,,,02 Oct 19,1.2304,02 Oct 19,1.124,,,,
,,,,,,,,,,,01 Oct 19,1.2223,01 Oct 19,1.1197,,,,
,,,,,,,,,,,30 Sep 19,1.232,30 Sep 19,1.1302,,,,
,,,,,,,,,,,27 Sep 19,1.2309,27 Sep 19,1.1244,,,,
,,,,,,,,,,,26 Sep 19,1.2334,26 Sep 19,1.1274,,,,
,,,,,,,,,,,25 Sep 19,1.2379,25 Sep 19,1.1295,,,,
,,,,,,,,,,,24 Sep 19,1.2479,24 Sep 19,1.1347,,,,
,,,,,,,,,,,23 Sep 19,1.243,23 Sep 19,1.1305,,,,
,,,,,,,,,,,20 Sep 19,1.2501,20 Sep 19,1.1352,,,,
,,,,,,,,,,,19 Sep 19,1.2488,19 Sep 19,1.1295,,,,
,,,,,,,,,,,18 Sep 19,1.2484,18 Sep 19,1.1288,,,,
,,,,,,,,,,,17 Sep 19,1.2482,17 Sep 19,1.1298,,,,
,,,,,,,,,,,16 Sep 19,1.242,16 Sep 19,1.1294,,,,
,,,,,,,,,,,13 Sep 19,1.246,13 Sep 19,1.1243,,,,
,,,,,,,,,,,12 Sep 19,1.2332,12 Sep 19,1.1178,,,,
,,,,,,,,,,,11 Sep 19,1.2343,11 Sep 19,1.1224,,,,
,,,,,,,,,,,10 Sep 19,1.2354,10 Sep 19,1.1189,,,,
,,,,,,,,,,,09 Sep 19,1.2344,09 Sep 19,1.1163,,,,
,,,,,,,,,,,06 Sep 19,1.2313,06 Sep 19,1.1145,,,,
,,,,,,,,,,,05 Sep 19,1.2325,05 Sep 19,1.1161,,,,
,,,,,,,,,,,04 Sep 19,1.2192,04 Sep 19,1.1054,,,,
,,,,,,,,,,,03 Sep 19,1.2092,03 Sep 19,1.1034,,,,
,,,,,,,,,,,02 Sep 19,1.2062,02 Sep 19,1.0996,,,,
,,,,,,,,,,,30 Aug 19,1.2183,30 Aug 19,1.1061,,,,
,,,,,,,,,,,29 Aug 19,1.2205,29 Aug 19,1.1027,,,,
,,,,,,,,,,,28 Aug 19,1.2221,28 Aug 19,1.1035,,,,
,,,,,,,,,,,27 Aug 19,1.2278,27 Aug 19,1.1067,,,,
,,,,,,,,,,,23 Aug 19,1.2276,23 Aug 19,1.105,,,,
,,,,,,,,,,,22 Aug 19,1.2253,22 Aug 19,1.1059,,,,
,,,,,,,,,,,21 Aug 19,1.2131,21 Aug 19,1.0935,,,,
,,,,,,,,,,,20 Aug 19,1.2132,20 Aug 19,1.0941,,,,
,,,,,,,,,,,19 Aug 19,1.2135,19 Aug 19,1.0936,,,,
,,,,,,,,,,,16 Aug 19,1.2145,16 Aug 19,1.0936,,,,
,,,,,,,,,,,15 Aug 19,1.2114,15 Aug 19,1.0905,,,,
,,,,,,,,,,,14 Aug 19,1.2069,14 Aug 19,1.0825,,,,
,,,,,,,,,,,13 Aug 19,1.2072,13 Aug 19,1.0788,,,,
,,,,,,,,,,,12 Aug 19,1.2082,12 Aug 19,1.077,,,,
,,,,,,,,,,,09 Aug 19,1.208,09 Aug 19,1.0781,,,,
,,,,,,,,,,,08 Aug 19,1.2134,08 Aug 19,1.0833,,,,
,,,,,,,,,,,07 Aug 19,1.2153,07 Aug 19,1.0836,,,,
,,,,,,,,,,,06 Aug 19,1.2167,06 Aug 19,1.088,,,,
,,,,,,,,,,,05 Aug 19,1.2142,05 Aug 19,1.0856,,,,
,,,,,,,,,,,02 Aug 19,1.2127,02 Aug 19,1.0916,,,,
,,,,,,,,,,,01 Aug 19,1.2152,01 Aug 19,1.0989,,,,
,,,,,,,,,,,31 Jul 19,1.2246,31 Jul 19,1.0999,,,,
,,,,,,,,,,,30 Jul 19,1.2152,30 Jul 19,1.0909,,,,
,,,,,,,,,,,29 Jul 19,1.2232,29 Jul 19,1.0988,,,,
,,,,,,,,,,,26 Jul 19,1.2387,26 Jul 19,1.1133,,,,
,,,,,,,,,,,25 Jul 19,1.2495,25 Jul 19,1.1196,,,,
,,,,,,,,,,,24 Jul 19,1.2499,24 Jul 19,1.1217,,,,
,,,,,,,,,,,23 Jul 19,1.2438,23 Jul 19,1.1156,,,,
,,,,,,,,,,,22 Jul 19,1.2498,22 Jul 19,1.1137,,,,
,,,,,,,,,,,19 Jul 19,1.2502,19 Jul 19,1.1141,,,,
,,,,,,,,,,,18 Jul 19,1.2483,18 Jul 19,1.1128,,,,
,,,,,,,,,,,17 Jul 19,1.2428,17 Jul 19,1.1071,,,,
,,,,,,,,,,,16 Jul 19,1.2419,16 Jul 19,1.1065,,,,
,,,,,,,,,,,15 Jul 19,1.2517,15 Jul 19,1.1114,,,,
,,,,,,,,,,,12 Jul 19,1.256,12 Jul 19,1.1162,,,,
,,,,,,,,,,,11 Jul 19,1.2553,11 Jul 19,1.1146,,,,
,,,,,,,,,,,10 Jul 19,1.2496,10 Jul 19,1.1106,,,,
,,,,,,,,,,,09 Jul 19,1.2466,09 Jul 19,1.1124,,,,
,,,,,,,,,,,08 Jul 19,1.2515,08 Jul 19,1.1159,,,,
,,,,,,,,,,,05 Jul 19,1.2506,05 Jul 19,1.1143,,,,
,,,,,,,,,,,04 Jul 19,1.2577,04 Jul 19,1.1147,,,,
,,,,,,,,,,,03 Jul 19,1.2564,03 Jul 19,1.1136,,,,
,,,,,,,,,,,02 Jul 19,1.26,02 Jul 19,1.1151,,,,
,,,,,,,,,,,01 Jul 19,1.2652,01 Jul 19,1.1174,,,,
,,,,,,,,,,,28 Jun 19,1.2728,28 Jun 19,1.1176,,,,
,,,,,,,,,,,27 Jun 19,1.2676,27 Jun 19,1.115,,,,
,,,,,,,,,,,26 Jun 19,1.2676,26 Jun 19,1.1144,,,,
,,,,,,,,,,,25 Jun 19,1.272,25 Jun 19,1.1176,,,,
,,,,,,,,,,,24 Jun 19,1.2722,24 Jun 19,1.1167,,,,
,,,,,,,,,,,21 Jun 19,1.2696,21 Jun 19,1.1214,,,,
,,,,,,,,,,,20 Jun 19,1.2701,20 Jun 19,1.1251,,,,
,,,,,,,,,,,19 Jun 19,1.263,19 Jun 19,1.1264,,,,
,,,,,,,,,,,18 Jun 19,1.2539,18 Jun 19,1.1212,,,,
,,,,,,,,,,,17 Jun 19,1.2556,17 Jun 19,1.1188,,,,
,,,,,,,,,,,14 Jun 19,1.2606,14 Jun 19,1.1232,,,,
,,,,,,,,,,,13 Jun 19,1.2684,13 Jun 19,1.1253,,,,
,,,,,,,,,,,12 Jun 19,1.2725,12 Jun 19,1.124,,,,
,,,,,,,,,,,11 Jun 19,1.2719,11 Jun 19,1.1241,,,,
,,,,,,,,,,,10 Jun 19,1.269,10 Jun 19,1.1213,,,,
,,,,,,,,,,,07 Jun 19,1.2757,07 Jun 19,1.1253,,,,
,,,,,,,,,,,06 Jun 19,1.2712,06 Jun 19,1.1269,,,,
,,,,,,,,,,,05 Jun 19,1.2732,05 Jun 19,1.1305,,,,
,,,,,,,,,,,04 Jun 19,1.2677,04 Jun 19,1.1285,,,,
,,,,,,,,,,,03 Jun 19,1.2631,03 Jun 19,1.1277,,,,
,,,,,,,,,,,31 May 19,1.2602,31 May 19,1.1309,,,,
