time,Age (Aggregate bands): 15-24,Age (Aggregate bands): 25-54,Age (Aggregate bands): 55-64,Age (Aggregate bands): 65+,Age (Aggregate bands): 15-24_share_percent,Age (Aggregate bands): 25-54_share_percent,Age (Aggregate bands): 55-64_share_percent,Age (Aggregate bands): 65+_share_percent,total,calculated_total,difference_total_vs_calculated
2011Q1,262.458,2085.328,452.976,59.252,9.176808225414282,72.91320951575761,15.838244148455216,2.0717381103728862,2860.014,2860.014,0.0
2011Q2,265.254,2080.895,461.523,60.036,9.249686509226184,72.56300153293152,16.093793370873186,2.0935185869691058,2867.708,2867.708,0.0
2011Q3,264.225,2064.052,452.497,60.743,9.298730220512494,72.63908679765069,15.924486814613465,2.137696167223353,2841.517,2841.517,0.0
2011Q4,238.093,2117.411,462.773,65.358,8.256696842700272,73.42853724552518,16.04825159911015,2.2665143126643974,2883.635,2883.635,0.0
2012Q1,219.226,2117.478,447.117,66.624,7.690939484887446,74.28587466167563,15.685866592760078,2.3373192606768414,2850.445,2850.445,0.0
2012Q2,235.61,2141.026,463.922,79.857,8.067689009952353,73.31238882145175,15.88548202909518,2.7344401395007214,2920.415,2920.415,0.0
2012Q3,261.545,2140.758,448.09,83.643,8.914171468925398,72.96290843057139,15.2721370835259,2.8507830169772967,2934.036,2934.036,0.0
2012Q4,239.251,2142.244,448.663,80.138,8.220847638865601,73.60914491172032,15.4164043794858,2.7536030699282827,2910.296,2910.2960000000003,-4.547473508864641e-13
2013Q1,258.704,2131.94,455.938,73.934,8.858160681194693,72.99874405755695,15.611556314021218,2.531538947227134,2920.516,2920.5160000000005,-4.547473508864641e-13
2013Q2,228.364,1968.359,448.432,65.491,8.424707615822943,72.61586352478339,16.543362726080794,2.4160661333128703,2710.646,2710.6459999999997,4.547473508864641e-13
2013Q3,291.247,2131.612,445.861,85.291,9.859374254192014,72.15992086691621,15.093410281816825,2.88729459707496,2954.011,2954.011,0.0
2013Q4,258.209,2159.36,460.439,78.783,8.732744384029848,73.03052532289229,15.572253838705544,2.6644764543723243,2956.791,2956.7909999999997,4.547473508864641e-13
2014Q1,242.911,2157.841,462.458,81.53,8.248979536393707,73.27781060467137,15.70454437403642,2.768665484898497,2944.74,2944.7400000000002,-4.547473508864641e-13
2014Q2,258.331,2189.921,449.122,97.964,8.624435706421112,73.11098113134477,14.994034062266095,3.270549099968017,2995.338,2995.3379999999997,4.547473508864641e-13
2014Q3,285.903,2182.771,466.525,84.376,9.46831921710837,72.28735832029342,15.4500219401737,2.7943005224245137,3019.575,3019.5750000000003,-4.547473508864641e-13
2014Q4,276.338,2225.434,488.581,87.214,8.979105897613278,72.31147201669371,15.87556014215125,2.8338619435417653,3077.567,3077.5670000000005,-4.547473508864641e-13
2015Q1,252.609,2157.74,492.438,102.788,8.404681300583084,71.79125458522911,16.3841527827454,3.4199113314424032,3005.575,3005.575,0.0
2015Q2,271.884,2141.132,505.892,95.471,9.019569204801387,71.03061691977021,16.78262753290147,3.1671863425269358,3014.379,3014.379,0.0
2015Q3,300.231,2071.416,498.967,97.935,10.113728963207278,69.77873701933167,16.80844749404507,3.299086523415985,2968.549,2968.549,0.0
2015Q4,272.694,2110.034,514.175,94.587,9.115658083429997,70.5345496725712,17.1879230751231,3.161869168875711,2991.49,2991.4900000000002,-4.547473508864641e-13
