time,Education (Aggregate levels): Basic and below basic,Education (Aggregate levels): Intermediate,Education (Aggregate levels): Advanced,Education (Aggregate levels): Level not stated,Education (Aggregate levels): Basic and below basic_share_percent,Education (Aggregate levels): Intermediate_share_percent,Education (Aggregate levels): Advanced_share_percent,Education (Aggregate levels): Level not stated_share_percent,total,calculated_total,difference_total_vs_calculated
2005Q4,1192.7289999999998,1460.419,664.104,437.552,31.765413054849194,38.89467998862258,17.686782053071212,11.65312490345701,3754.804,3754.804,0.0
2006Q1,1184.653,1453.26,669.391,433.526,31.668185937345456,38.848597771082886,17.89418391105717,11.589032380514485,3740.83,3740.83,0.0
2006Q2,1183.296,1484.214,684.04,420.52,31.369937461393878,39.347467040643465,18.134340030805365,11.14825546715729,3772.07,3772.07,0.0
2006Q3,1157.11,1459.539,706.416,453.722,30.63741746622195,38.644991099577496,18.704152497877168,12.013438936323388,3776.787,3776.7869999999994,4.547473508864641e-13
2006Q4,1151.926,1414.642,709.978,441.129,30.985118387164018,38.05179312339029,19.097365961252663,11.865722528193023,3717.675,3717.675,0.0
2007Q1,1159.479,1388.469,698.472,449.474,31.372084805462496,37.5678793818221,18.898593953181557,12.16144185953385,3695.894,3695.8940000000002,-4.547473508864641e-13
2007Q2,1184.556,1383.511,736.0,460.703,31.464232874783853,36.74888505805136,19.549667044733145,12.237215022431648,3764.77,3764.77,0.0
2007Q3,1164.7250000000001,1410.662,765.202,436.171,30.839264342981814,37.351115771190116,20.260805558203327,11.548814327624736,3776.76,3776.7599999999998,4.547473508864641e-13
2007Q4,1138.105,1397.751,764.802,422.658,30.56697309602516,37.540488102540856,20.540883449054554,11.351655352379439,3723.316,3723.3160000000003,-4.547473508864641e-13
2008Q1,1155.758,1380.686,725.96,371.29,31.806695885784553,37.996760321590095,19.978567265157718,10.217976527467641,3633.694,3633.694,0.0
2008Q2,1145.085,1361.49,693.675,365.909,32.109757304707955,38.178050950616615,19.45160044742817,10.260591297247263,3566.159,3566.159,0.0
2008Q3,1117.111,1352.538,703.659,366.378,31.559607264599176,38.21067744427048,19.879136171965534,10.350579119164806,3539.686,3539.686,0.0
2008Q4,1069.9560000000001,1323.265,682.629,352.745,31.206835453006263,38.59496382629037,19.909875619605117,10.288325101098264,3428.595,3428.5950000000003,-4.547473508864641e-13
2009Q1,932.064,1133.418,484.666,306.509,32.627788355409834,39.67637696790339,16.966195101477005,10.729639575209763,2856.657,2856.657,0.0
2009Q2,908.7159999999999,1095.437,491.157,281.452,32.725743149755,39.45015813382638,17.688120191791732,10.135978524626884,2776.762,2776.7619999999997,4.547473508864641e-13
2009Q3,914.609,1117.156,492.812,288.864,32.50855447119738,39.707816869093755,17.516343865039293,10.267284794669587,2813.441,2813.4410000000003,-4.547473508864641e-13
2009Q4,863.444,1115.311,526.734,293.429,30.84920672917177,39.84793409453224,18.819200848327817,10.483658327968163,2798.918,2798.9179999999997,4.547473508864641e-13
2010Q1,848.797,1118.813,519.595,328.132,30.149037220055718,39.73993166715033,18.45587224548962,11.65515886730434,2815.337,2815.337,0.0
2010Q2,855.69,1157.818,550.693,310.916,29.76191925406862,40.27029160900234,19.15375965569401,10.814029481235025,2875.117,2875.117,0.0
2010Q3,855.2819999999999,1144.504,569.554,319.037,29.61116225478876,39.62446730464894,19.718824793300875,11.04554564726142,2888.377,2888.3769999999995,4.547473508864641e-13
2010Q4,866.7429999999999,1146.264,590.161,298.623,29.869242822794607,39.50194896875757,20.33781895388055,10.290989254567265,2901.791,2901.7909999999997,4.547473508864641e-13
2011Q1,850.822,1171.124,565.577,272.491,29.7488753551556,40.9481911627006,19.775322778140243,9.527610704003546,2860.014,2860.014,0.0
2011Q2,856.946,1179.567,589.916,241.279,29.882610084429796,41.13274433798699,20.570992583624275,8.413652993958937,2867.708,2867.708,0.0
2011Q3,852.0509999999999,1171.884,583.956,233.626,29.985778723125712,41.241491780622816,20.550853646133387,8.221875850118089,2841.517,2841.5170000000003,-4.547473508864641e-13
2011Q4,841.271,1194.732,605.783,241.849,29.173976595512258,41.43145717124393,21.007617122139244,8.38694911110456,2883.635,2883.635,0.0
2012Q1,830.937,1164.794,609.276,245.438,29.151132542462665,40.86358445786536,21.374767799413775,8.610515200258204,2850.445,2850.445,0.0
2012Q2,826.513,1199.155,641.632,253.115,28.301217463956323,41.06111631394853,21.970576099629675,8.667090122465472,2920.415,2920.415,0.0
2012Q3,832.989,1204.607,636.375,260.065,28.39055144517654,41.05631287414333,21.68940667394674,8.863729006733386,2934.036,2934.036,0.0
2012Q4,829.614,1240.017,600.865,239.8,28.506172568013703,42.60793403832463,20.646181694233164,8.239711699428513,2910.296,2910.2960000000003,-4.547473508864641e-13
2013Q1,832.9159999999999,1241.52,620.626,225.454,28.519480804077084,42.510296125753115,21.25055983257753,7.719663237592261,2920.516,2920.516,0.0
2013Q2,768.42,1158.457,562.485,221.284,28.34822400269161,42.73730321111647,20.750957520827136,8.163515265364786,2710.646,2710.646,0.0
