time,male_thousands,female_thousands,male_share_percent,female_share_percent,total,calculated_total,difference_total_vs_calculated
2013Q3,2241.267,712.744,75.87199235209347,24.12800764790653,2954.011,2954.011,0.0
2013Q4,2225.282,731.509,75.26003697927922,24.739963020720772,2956.791,2956.791,0.0
2014Q1,2198.874,745.866,74.67124432038142,25.328755679618574,2944.74,2944.74,0.0
2014Q2,2238.134,757.204,74.72058245179676,25.279417548203238,2995.338,2995.3379999999997,4.547473508864641e-13
2014Q3,2255.639,763.936,74.70054560658372,25.299454393416294,3019.575,3019.5750000000003,-4.547473508864641e-13
2014Q4,2308.113,769.454,74.9979772983009,25.0020227016991,3077.567,3077.567,0.0
2015Q1,2264.597,740.978,75.34654766558813,24.653452334411885,3005.575,3005.5750000000003,-4.547473508864641e-13
2015Q2,2274.246,740.133,75.44658452039376,24.55341547960625,3014.379,3014.379,0.0
2015Q3,2223.914,744.635,74.9158595664077,25.084140433592307,2968.549,2968.549,0.0
2015Q4,2269.283,722.207,75.85795038592809,24.14204961407192,2991.49,2991.49,0.0
2016Q1,2172.817,700.038,75.6326720283481,24.367327971651896,2872.855,2872.855,0.0
2016Q2,2303.054,729.847,75.93568006341124,24.064319936588767,3032.901,3032.901,0.0
2016Q3,2254.555,757.669,74.84685733863084,25.153142661369138,3012.224,3012.2239999999997,4.547473508864641e-13
2016Q4,2203.944,744.694,74.74447524585928,25.255524754140723,2948.638,2948.638,0.0
2017Q1,2180.033,720.485,75.16012657049534,24.83987342950466,2900.518,2900.518,0.0
2017Q2,2189.326,718.863,75.28142084300575,24.71857915699427,2908.189,2908.1890000000003,-4.547473508864641e-13
2017Q3,2177.933,764.819,74.01007628233708,25.989923717662922,2942.752,2942.752,0.0
2017Q4,2211.092,732.649,75.11163516083786,24.88836483916214,2943.741,2943.741,0.0
2018Q1,2193.503,723.801,75.18938718762254,24.810612812377457,2917.304,2917.304,0.0
2018Q2,2143.669,735.928,74.44336829077123,25.556631709228757,2879.597,2879.5969999999998,4.547473508864641e-13
2018Q3,2161.348,715.366,75.13252968491133,24.867470315088674,2876.714,2876.714,0.0
2018Q4,2185.561,715.09,75.34725825340588,24.652741746594128,2900.651,2900.6510000000003,-4.547473508864641e-13
2019Q1,2197.806,751.276,74.52508950242822,25.474910497571784,2949.082,2949.082,0.0
2019Q2,2147.366,769.688,73.61420117694084,26.385798823059154,2917.054,2917.054,0.0
2019Q3,2129.342,753.473,73.86328987465377,26.13671012534623,2882.815,2882.815,0.0
2019Q4,2159.794,731.549,74.69864350234475,25.30135649765524,2891.343,2891.343,0.0
2020Q1,2224.457,745.933,74.88770834806205,25.112291651937962,2970.39,2970.39,0.0
2020Q2,2136.674,757.251,73.83308136872931,26.166918631270676,2893.925,2893.925,0.0
2020Q3,2051.31,716.771,74.10585167124806,25.894148328751935,2768.081,2768.081,0.0
2020Q4,1949.252,721.511,72.9848361685406,27.0151638314594,2670.763,2670.763,0.0
2021Q1,1989.73,770.328,72.09015172869556,27.909848271304444,2760.058,2760.058,0.0
2021Q2,1889.147,700.289,72.95592553745294,27.04407446254705,2589.436,2589.4359999999997,4.547473508864641e-13
2021Q3,1907.928,695.542,73.28404014641998,26.715959853580035,2603.47,2603.4700000000003,-4.547473508864641e-13
2021Q4,1888.352,676.712,73.6181241481694,26.3818758518306,2565.064,2565.0640000000003,-4.547473508864641e-13
2022Q1,1998.51,751.344,72.6769493944042,27.323050605595796,2749.854,2749.8540000000003,-4.547473508864641e-13
2022Q2,1999.39,754.375,72.60568712290265,27.394312877097356,2753.765,2753.7650000000003,-4.547473508864641e-13
2022Q3,1943.273,723.263,72.87630843911352,27.12369156088648,2666.536,2666.536,0.0
2022Q4,1966.732,700.015,73.75022827437324,26.249771725626765,2666.747,2666.747,0.0
2023Q1,1918.679,726.565,72.53315762175436,27.466842378245637,2645.244,2645.244,0.0
2023Q2,1869.395,648.284,74.25072854799996,25.749271452000034,2517.679,2517.679,0.0
2023Q3,1832.019,666.389,73.32745492329515,26.672545076704846,2498.408,2498.408,0.0
2023Q4,1980.271,709.797,73.61416142640259,26.385838573597393,2690.068,2690.068,0.0
2024Q1,1970.085,733.794,72.86143351828984,27.138566481710164,2703.879,2703.879,0.0
2024Q2,1950.615,752.761,72.15477980125591,27.845220198744087,2703.376,2703.376,0.0
2024Q3,1942.563,808.21,70.61880424157137,29.38119575842863,2750.773,2750.773,0.0
2024Q4,1920.847,789.504,70.87078389477968,29.12921610522032,2710.351,2710.351,0.0
2025Q1,1916.429,762.046,71.54925843997052,28.450741560029496,2678.475,2678.4750000000004,-4.547473508864641e-13
2025Q2,1915.57,773.707,71.22992536655762,28.770074633442373,2689.277,2689.277,0.0
2025Q3,1881.166,732.516,71.9737902315584,28.026209768441607,2613.682,2613.682,0.0
